run,id,category,alias_type,input,expected_origin,expected_destination,legacy_origin,legacy_destination,legacy_origin_correct,legacy_destination_correct,legacy_pair_correct,legacy_asked_origin,legacy_status
1,45,variant,variant,자연과학대 1호관에서 공대4호관 가줘,자연과학대학 1호관,공과대학 4호관,,공과대학 4호관,false,true,false,true,SUCCESS
1,46,variant,variant,자연과학대학2호관에서 경상관 가는 길,자연과학대학 2호관,경상대학,,경상대학,false,true,false,true,SUCCESS
1,47,variant,variant,정문에서 공과대4호관 가줘,정문,공과대학 4호관,정문,,true,false,false,false,SUCCESS
1,48,variant,variant,인문 대학에서 경상 대학 가줘,인문대학,경상대학,,글로벌인재양성센터,false,false,false,true,SUCCESS
1,49,variant,variant,서문에서 자연과학대 1호관 가는 길,서문,자연과학대학 1호관,서문,자연과학대학 1호관,true,true,true,false,SUCCESS
1,50,variant,variant,공대4호관에서 약대 가줘,공과대학 4호관,약학대학,,약학대학,false,true,false,true,SUCCESS
1,51,variant,variant,인문관에서 경상관 가는 길,인문대학,경상대학,,경상대학,false,true,false,true,SUCCESS
1,52,variant,variant,공대1호관에서 공대 4호관 가줘,공과대학 1호관,공과대학 4호관,,공과대학 4호관,false,true,false,true,SUCCESS
1,53,variant,variant,자연과학대학2호관에서 도서관 가줘,자연과학대학 2호관,중앙도서관,,중앙도서관,false,true,false,true,SUCCESS
1,54,variant,variant,공대 4호관에서 1학 가는 길,공과대학 4호관,제1학생회관,,제1학생회관,false,true,false,true,SUCCESS
1,55,variant,variant,북문에서 자연과학대 1호관 가줘,북문,자연과학대학 1호관,북문(자운대방면),자연과학대학 1호관,true,true,true,false,SUCCESS
1,56,variant,variant,경상 대학에서 약대 가줘,경상대학,약학대학,,약학대학,false,true,false,true,SUCCESS
1,57,variant,variant,공과대4호관에서 도서관 가는 길,공과대학 4호관,중앙도서관,,중앙도서관,false,true,false,true,SUCCESS
1,58,variant,variant,인문 대학에서 공대1호관 가줘,인문대학,공과대학 1호관,,공과대학 1호관,false,true,false,true,SUCCESS
1,59,variant,unseen,농생대 1호관에서 1학 가줘,농업생명과학대학 1호관,제1학생회관,,제1학생회관,false,true,false,true,SUCCESS
1,60,variant,variant,자연과학대 1호관에서 경상관 가는 길,자연과학대학 1호관,경상대학,,경상대학,false,true,false,true,SUCCESS
1,61,natural,known,지금 공4인데 자1까지 어떻게 가?,공과대학 4호관,자연과학대학 1호관,,,false,false,false,false,SUCCESS
1,62,natural,known,나 자1인데 도서관 가고 싶어,자연과학대학 1호관,중앙도서관,,중앙도서관,false,true,false,true,SUCCESS
1,63,natural,known,공4에서 출발해서 밥 먹으러 1학 가자,공과대학 4호관,제1학생회관,,제1학생회관,false,true,false,true,SUCCESS
1,64,natural,known,자1에서 공1 좀 데려다줘,자연과학대학 1호관,공과대학 1호관,,공과대학 1호관,false,true,false,true,SUCCESS
1,65,natural,known,인문대에 있는데 경상대 가려면 어디로 가?,인문대학,경상대학,,경상대학,false,true,false,true,SUCCESS
1,66,natural,known,지금 정문인데 공4 가고 싶어,정문,공과대학 4호관,,공과대학 4호관,false,true,false,true,SUCCESS
1,67,natural,known,나 지금 법대인데 약대까지 가는 길 알려줘,법학전문대학원,약학대학,,,false,false,false,false,SUCCESS
1,68,natural,known,1학에서 수업 끝나고 공4 가야 해,제1학생회관,공과대학 4호관,제1학생회관 앞,공과대학 4호관,true,true,true,false,SUCCESS
1,69,natural,known,공1에 있어 근데 도서관 가는 길이 궁금해,공과대학 1호관,중앙도서관,,중앙도서관,false,true,false,true,SUCCESS
1,70,natural,known,서문 쪽에서 자1까지 걸어가려는데 알려줘,서문,자연과학대학 1호관,서문,,true,false,false,false,SUCCESS
1,71,natural,known,공4인데 생활대 가고 싶어,공과대학 4호관,생활과학대학,,생활과학대학,false,true,false,true,SUCCESS
1,72,natural,known,생명대에서 자3까지 좀 데려다줄래?,생명시스템과학대학,자연과학대학 3호관,,,false,false,false,false,SUCCESS
1,73,natural,known,나 공2에 있는데 1학 어떻게 가,공과대학 2호관,제1학생회관,,제1학생회관,false,true,false,true,SUCCESS
1,74,natural,known,지금 농1인데 생명대 가는 법 알려줘,농업생명과학대학 1호관,생명시스템과학대학,,생명시스템과학대학,false,true,false,true,SUCCESS
1,75,natural,known,경상대에서 출발할게 법대 가자,경상대학,법학전문대학원,,법학전문대학원,false,true,false,true,SUCCESS
1,76,natural,known,자4에 있는데 공5까지 가야돼,자연과학대학 4호관,공과대학 5호관,,,false,false,false,false,SUCCESS
1,77,natural,known,도서관 앞인데 공4 가는 길 좀,중앙도서관,공과대학 4호관,,공과대학 4호관,false,true,false,true,SUCCESS
1,78,natural,known,1학 있다가 전산 갈건데 길 알려줘,제1학생회관,정보화본부,,제1학생회관,false,false,false,true,SUCCESS
1,79,natural,known,공4에서 미술관 구경하러 가고 싶어,공과대학 4호관,예술대학 미술관,,예술대학 미술관,false,true,false,true,SUCCESS
1,80,natural,known,나 인문대인데 한누리에서 밥 먹자,인문대학,한누리회관,,,false,false,false,false,SUCCESS
